match_id,match,liga,selection,data_status,sample_status,prior_status,shrinkage_applied,p_model,p_market,delta_model_market_pp,p_scoreline,p_strength,p_market_component,p_scoreline_raw,p_strength_raw,n_current_home,n_current_away,n_prior_home,n_prior_away,weight_current,weight_prior,haircut_total,p_adj,scoreline_strength_gap,model_top1,market_top1,scoreline_top1,strength_top1,scoreline_raw_top1,strength_raw_top1,pdraw_model,pdraw_market,lambda_home_scoreline,lambda_away_scoreline,lambda_home_scoreline_raw,lambda_away_scoreline_raw
8612599,CSM Satu Mare vs Afumaţi,Romania Liga II,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.5986003691,0.7367688022,-13.81684331,0.5162731507,0.6250863729,0.7367688022,0.7021409676,0.7071624422,3,3,77,77,0.0375,0.9625,0.045,0.5536003691,0.1088132222,0.4013996309,0.4735376045,0.4837268493,0.3809290457,0.4242014725,0.4414496795,0.2454195151,0.2632311978,1.7194375,1.25225,1.04,1.298333333
8612599,CSM Satu Mare vs Afumaţi,Romania Liga II,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7545804849,0.7367688022,1.78116827,0.7628552323,0.7558426728,0.7367688022,0.722060505,0.7342872374,3,3,77,77,0.0375,0.9625,0.045,0.7095804849,0.1088132222,0.4013996309,0.4735376045,0.4837268493,0.3809290457,0.4242014725,0.4414496795,0.2454195151,0.2632311978,1.7194375,1.25225,1.04,1.298333333
8612613,CSA Steaua Bucureşti vs ACS Gloria Bistrita,Romania Liga II,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.6902094188,0.7103520242,-2.014260542,0.7175225825,0.6154404859,0.7103520242,0.5118391897,0.4744088315,4,3,77,77,0.04938271605,0.950617284,0.045,0.6452094188,0.1088940803,0.4441352582,0.442319569,0.4810385147,0.3845595141,0.4881608103,0.5255911685,0.2460741606,0.2680324552,1.725056327,1.270267747,1.221666667,1.709166667
8612613,CSA Steaua Bucureşti vs ACS Gloria Bistrita,Romania Liga II,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.5558647418,0.557680431,-0.181568925,0.5189614853,0.6278555656,0.557680431,0.7264761453,0.7583685863,4,3,77,77,0.04938271605,0.950617284,0.045,0.5108647418,0.1088940803,0.4441352582,0.442319569,0.4810385147,0.3845595141,0.4881608103,0.5255911685,0.2460741606,0.2680324552,1.725056327,1.270267747,1.221666667,1.709166667
8612613,CSA Steaua Bucureşti vs ACS Gloria Bistrita,Romania Liga II,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7539258394,0.7319675448,2.195829467,0.7635159322,0.7567039485,0.7319675448,0.761684665,0.7672225822,4,3,77,77,0.04938271605,0.950617284,0.045,0.7089258394,0.1088940803,0.4441352582,0.442319569,0.4810385147,0.3845595141,0.4881608103,0.5255911685,0.2460741606,0.2680324552,1.725056327,1.270267747,1.221666667,1.709166667
8612623,Concordia Chiajna vs Metalul Buzău,Romania Liga II,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.6955564414,0.7214235113,-2.58670699,0.719465116,0.6218720222,0.7214235113,0.5515808728,0.6281865737,3,4,77,77,0.0375,0.9625,0.045,0.6505564414,0.1036603238,0.4525430139,0.4667250073,0.4823691241,0.3787088003,0.4484191272,0.3851669724,0.2430134274,0.254698504,1.719052469,1.257916667,1.155833333,1.488333333
8612623,Concordia Chiajna vs Metalul Buzău,Romania Liga II,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.5474569861,0.5332749927,1.418199335,0.5176308759,0.6212911997,0.5332749927,0.7055169301,0.6148330276,3,4,77,77,0.0375,0.9625,0.045,0.5024569861,0.1036603238,0.4525430139,0.4667250073,0.4823691241,0.3787088003,0.4484191272,0.3851669724,0.2430134274,0.254698504,1.719052469,1.257916667,1.155833333,1.488333333
8612623,Concordia Chiajna vs Metalul Buzău,Romania Liga II,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7569865726,0.745301496,1.168507655,0.7629040081,0.7568367781,0.745301496,0.7429021971,0.7569803988,3,4,77,77,0.0375,0.9625,0.045,0.7119865726,0.1036603238,0.4525430139,0.4667250073,0.4823691241,0.3787088003,0.4484191272,0.3851669724,0.2430134274,0.254698504,1.719052469,1.257916667,1.155833333,1.488333333
8553047,Avispa Fukuoka vs Sanfrecce Hiroshima,Japan J1 League,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.6150482036,0.4684777794,14.65704242,0.6883246247,0.6150657857,0.4684777794,0.5388073076,0.4530956279,4,3,70,70,0.05405405405,0.9459459459,0.045,0.5700482036,0.07602460756,0.3849517964,0.5315222206,0.4452492999,0.3849342143,0.4611926924,0.5469043721,0.2446397488,0.2465672523,1.617566179,1.31581729,1.330833333,1.6975
8553047,Avispa Fukuoka vs Sanfrecce Hiroshima,Japan J1 League,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.6295915452,0.7780894729,-14.84979277,0.5547507001,0.6307753077,0.7780894729,0.6985660603,0.7684172942,4,3,70,70,0.05405405405,0.9459459459,0.045,0.5845915452,0.07602460756,0.3849517964,0.5315222206,0.4452492999,0.3849342143,0.4611926924,0.5469043721,0.2446397488,0.2465672523,1.617566179,1.31581729,1.330833333,1.6975
